T_high,T_low,DeltaT,Cp_net,Heat_flow,Cascade_in,Cascade_out,ShiftedCascade_in,ShiftedCascade_out
805.0,705.0,100.0,-7.0,-700.0,0.0,-700.0,5320.0,4620.0
705.0,605.0,100.0,-13.0,-1300.0,-700.0,-2000.0,4620.0,3320.0
605.0,595.0,10.0,-18.0,-180.0,-2000.0,-2180.0,3320.0,3140.0
595.0,505.0,90.0,-15.0,-1350.0,-2180.0,-3530.0,3140.0,1790.0
505.0,495.0,10.0,-10.0,-100.0,-3530.0,-3630.0,1790.0,1690.0
495.0,405.0,90.0,-13.0,-1170.0,-3630.0,-4800.0,1690.0,520.0
405.0,395.0,10.0,-7.0,-70.0,-4800.0,-4870.0,520.0,450.0
395.0,305.0,90.0,-5.0,-450.0,-4870.0,-5320.0,450.0,0.0
305.0,295.0,10.0,2.0,20.0,-5320.0,-5300.0,0.0,20.0
295.0,195.0,100.0,0.0,0.0,-5300.0,-5300.0,20.0,20.0
195.0,95.0,100.0,1.0,100.0,-5300.0,-5200.0,20.0,120.0
